,from,to,weight,correlation
0,TFCP2L1,SLC16A3,187.72402597813056,red
1,GRHL3,SLC16A3,52.43793749345282,red
2,TFCP2L1,ATP6AP2,133.0010218199245,red
3,TFCP2L1,BSG,130.86633985767125,red
4,TFCP2L1,CLDN4,119.03085821984072,red
5,TFCP2L1,GRHL3,87.15955817049786,red
6,GATA2,GRHL3,81.59955568309314,red
7,KLF5,GRHL3,55.32600396792491,red
8,TFCP2L1,GRHL1,83.39492262518696,red
9,TFCP2L1,DAPK2,70.59318658655533,red
10,GATA2,DAPK2,54.61270044504109,red
11,TP63,DAPK2,72.88149560595454,red
12,TFCP2L1,CD164,68.14854909147617,red
13,TFCP2L1,GADD45G,64.8619444250219,red
14,NEUROG1,GADD45G,164.842730739215,red
15,TFCP2L1,CLPTM1,55.15838399121096,red
16,TFCP2L1,DSP,54.39363549139469,red
17,GATA2,DSP,81.9963328231117,red
18,TFAP2C,DSP,54.078119662965015,red
19,TFCP2L1,ARRDC3,51.23266618590446,red
20,GATA2,TRIM29,66.24618569270382,red
21,TP63,TRIM29,69.78110119574097,red
22,GATA2,TSPO,53.33419383272096,red
23,GATA2,EPPK1,64.07003472961173,red
24,GATA2,KRT12,103.65121350731174,red
25,GATA2,EIF1B,58.9930849223331,red
26,GATA2,RREB1,54.78484454785168,red
27,GATA2,CMIP,55.43838143665037,red
28,GATA2,ABO,54.81928069443271,red
29,GATA2,FOXI1,121.24168115319604,red
30,TFAP2A,FOXI1,56.505657307088455,red
31,KLF4,FOXI1,51.628323377425644,red
32,GATA2,KRT19,201.22374705788835,red
33,TFAP2C,KRT19,58.16286766678841,red
34,GATA3,KRT19,55.67622860295942,red
35,ZEB2,KRT19,56.15207658286321,blue
36,GATA2,ANXA4,70.81869748122439,red
37,GATA2,SPTLC3,66.2659792151507,red
38,GATA2,AHNAK,123.17332315185672,red
39,TFAP2C,AHNAK,81.65840510988944,red
40,TP63,AHNAK,78.41597691000364,red
41,GATA3,AHNAK,80.31432058601858,red
42,LHX5,AHNAK,50.743850222104136,blue
43,SP5,AXIN2,52.97047021061768,red
44,TCF7L1,AXIN2,55.53917098118209,blue
45,GATA2,KLF4,93.0896368909612,red
46,TFAP2A,KLF4,52.17467020371853,red
47,FOXI1,KLF4,61.969042653088565,red
48,ZEB2,KLF4,51.40024051691464,blue
49,PITX1,BTG1,56.75747023256756,red
50,TP63,ACTB,52.69192897265497,red
51,GATA2,ESRP1,136.5046531679987,red
52,TFAP2C,ESRP1,52.64407098445354,red
53,GATA3,ESRP1,53.01760718128859,red
54,ZEB2,ESRP1,55.19752392935596,blue
55,NEUROG1,DLL1,132.6006736108858,red
56,ZEB2,SALL4,56.04446315404781,red
57,GATA2,CDH1,74.13324059903124,red
58,TP63,CDH1,61.429034178932135,red
59,GATA3,CDH1,53.154712702914864,red
60,GATA2,SOX11,80.37609933039447,blue
61,ZEB2,SOX11,55.265033589986366,red
62,GATA2,HAS1,62.60603951864488,red
63,FOXI1,HAS1,95.14170492891714,red
64,ZEB2,HAS1,61.69581122192075,blue
65,NR6A1,HAS1,66.84758463226638,blue
66,HMGB1,HAS1,52.29991619047844,blue
67,FOXI1,SRSF5,52.69802507422076,red
68,OTX2,TCF7L1,77.81941689451756,red
69,OTX1,TCF7L1,105.18715419382642,red
70,HESX1,TCF7L1,57.76104783193398,red
71,FOXI1,SRSF7,70.06697440111901,blue
72,NR6A1,SRSF7,69.86777447645822,blue
73,NEUROG1,HIST2H2AB,68.1249031132162,blue
74,GATA2,CYP2F1,76.0789137556669,red
75,ZEB2,ATP2A2,57.496408954728736,red
76,GATA2,DLX3,99.91199713207696,red
77,GATA2,SSR3,58.95815674902092,red
78,FOXI1,LRWD1,127.52535771408108,red
79,NR6A1,LRWD1,57.88666430905692,blue
80,TP63,ANXA2,62.835504198837015,red
81,GATA3,ANXA2,51.36682641276766,red
82,GATA2,SEC61A1,52.79119767997933,red
83,GATA2,TP63,118.3407802319994,red
84,TBX3,TP63,52.5245726835643,red
85,GATA2,PCDH7,99.19447644922433,red
86,TP63,PCDH7,61.91253209927432,red
87,GATA3,PCDH7,58.86202599823864,red
88,GATA2,HNRNPDL,51.173278110496085,blue
89,NR6A1,MKRN1,77.54289957676713,blue
90,LHX5,MKRN1,63.5870083899,red
91,GATA2,CNDP1,54.98666556465593,red
